iter	MultiClass
0	1.580929745
1	1.555770537
2	1.537304838
3	1.516470217
4	1.498141947
5	1.484778573
6	1.468965701
7	1.455178385
8	1.445233878
9	1.435976303
10	1.42750871
11	1.417476298
12	1.408066266
13	1.397573087
14	1.389924913
15	1.381862351
16	1.376687799
17	1.372224959
18	1.366182206
19	1.360394734
20	1.356438905
21	1.351507701
22	1.347870197
23	1.343985619
24	1.340202246
25	1.336042245
26	1.331429364
27	1.325937258
28	1.324070748
29	1.32132406
30	1.317414608
31	1.314749918
32	1.312585407
33	1.309876256
34	1.307358
35	1.305546016
36	1.303815238
37	1.300856186
38	1.299815293
39	1.297211932
40	1.295110956
41	1.293431913
42	1.292469087
43	1.290939605
44	1.288702122
45	1.28679666
46	1.28596467
47	1.284613969
48	1.281910485
49	1.280887073
50	1.280131859
51	1.277620783
52	1.274912594
53	1.273380993
54	1.272595113
55	1.271750068
56	1.270316037
57	1.268993043
58	1.268278253
59	1.267090472
60	1.266119565
61	1.265228088
62	1.264084396
63	1.263531122
64	1.262690841
65	1.261578842
66	1.261090902
67	1.260298901
68	1.259800112
69	1.259166825
70	1.258842446
71	1.257972738
72	1.257361096
73	1.256222659
74	1.25548795
75	1.255021107
76	1.25375117
77	1.253467566
78	1.253194322
79	1.252770064
80	1.252214732
81	1.25163007
82	1.250953143
83	1.250333567
84	1.249525517
85	1.24886307
86	1.248199592
87	1.24721949
88	1.246974696
89	1.246063019
90	1.245520104
91	1.244953709
92	1.244730511
93	1.244018607
94	1.242851194
95	1.242675432
96	1.242307377
97	1.241528584
98	1.24089952
99	1.240373368
100	1.239093719
101	1.238596443
102	1.238160695
103	1.237563984
104	1.237200712
105	1.236796447
106	1.236518138
107	1.23545572
108	1.23519574
109	1.234679428
110	1.234023156
111	1.233447003
112	1.233129896
113	1.232701001
114	1.23231494
115	1.231953911
116	1.231257358
117	1.230748517
118	1.23036453
119	1.229900955
120	1.229393317
121	1.228993769
122	1.228427784
123	1.227867785
124	1.227631985
125	1.226757099
126	1.226196828
127	1.225720416
128	1.225156825
129	1.224593048
130	1.223736294
131	1.223309208
132	1.222854944
133	1.222473385
134	1.22198775
135	1.221424295
136	1.221015281
137	1.220329757
138	1.219864079
139	1.219190977
140	1.218629704
141	1.218226061
142	1.217598131
143	1.216959579
144	1.215768099
145	1.215347154
146	1.214777148
147	1.214272275
148	1.213442979
149	1.213169603
150	1.212467128
151	1.211964766
152	1.211392187
153	1.210725467
154	1.210453512
155	1.20984285
156	1.208626101
157	1.208181387
158	1.207856632
159	1.207308406
160	1.206390958
161	1.205691013
162	1.205103565
163	1.204312169
164	1.20385342
165	1.203434942
166	1.202701062
167	1.201954659
168	1.201620564
169	1.201260886
170	1.201003296
171	1.200486389
172	1.199783841
173	1.199583503
174	1.198593646
175	1.197644526
176	1.196979273
177	1.196417442
178	1.19599187
179	1.195362799
180	1.194650526
181	1.193981832
182	1.193325886
183	1.192775531
184	1.192293643
185	1.19135641
186	1.190581855
187	1.190317234
188	1.189395696
189	1.188941459
190	1.188432383
191	1.187607637
192	1.187024484
193	1.186326981
194	1.185667287
195	1.185055631
196	1.184413274
197	1.183713441
198	1.183318066
199	1.182634405
200	1.181449985
201	1.180937401
202	1.1801909
203	1.179655816
204	1.179058092
205	1.178587031
206	1.177861241
207	1.177509694
208	1.17695149
209	1.176404544
210	1.175572726
211	1.174951371
212	1.174344596
213	1.173625287
214	1.173176849
215	1.172863462
216	1.172316324
217	1.171729559
218	1.171040955
219	1.170353655
220	1.16961698
221	1.169021145
222	1.16862475
223	1.168170194
224	1.167450195
225	1.166795587
226	1.166085365
227	1.1656827
228	1.165334786
229	1.164799446
230	1.164147224
231	1.163702634
232	1.163004169
233	1.162659369
234	1.161983755
235	1.161612852
236	1.161343049
237	1.160874434
238	1.16005681
239	1.159806182
240	1.159204966
241	1.158351604
242	1.157878341
243	1.157432325
244	1.157042419
245	1.15648378
246	1.155980804
247	1.155478776
248	1.155009044
249	1.154470097
250	1.153956202
251	1.153422928
252	1.15302099
253	1.152217418
254	1.151705716
255	1.151153018
256	1.150871224
257	1.150472694
258	1.149793896
259	1.14903678
260	1.148571925
261	1.147976389
262	1.147565726
263	1.147214397
264	1.146841549
265	1.146618807
266	1.146217283
267	1.145794948
268	1.145282971
269	1.144925496
270	1.144716295
271	1.144126675
272	1.143729225
273	1.143245666
274	1.142560249
275	1.142013247
276	1.141629401
277	1.141269936
278	1.140407554
279	1.140130424
280	1.139646373
281	1.139290378
282	1.13876927
283	1.138012697
284	1.13767555
285	1.137169798
286	1.136548783
287	1.136197688
288	1.135675147
289	1.135359973
290	1.134888649
291	1.134475585
292	1.134027466
293	1.133753062
294	1.133348365
295	1.13295122
296	1.132662431
297	1.132463483
298	1.13208766
299	1.131567953
300	1.131080729
301	1.130804912
302	1.130049274
303	1.129804972
304	1.129525658
305	1.129002818
306	1.128766069
307	1.128339449
308	1.127854824
309	1.127514364
310	1.127301939
311	1.126922768
312	1.126419061
313	1.125768282
314	1.125276196
315	1.124998501
316	1.124477996
317	1.124161119
318	1.123517454
319	1.123022482
320	1.122610549
321	1.122225491
322	1.121856891
323	1.121433196
324	1.121029057
325	1.120648442
326	1.120404084
327	1.11983525
328	1.119518371
329	1.118984579
330	1.118764086
331	1.118347245
332	1.117894491
333	1.117642465
334	1.117274422
335	1.116899339
336	1.116621408
337	1.116256018
338	1.115979491
339	1.115497547
340	1.115278613
341	1.114969875
342	1.114823968
343	1.114669834
344	1.114285825
345	1.114167096
346	1.113958762
347	1.113641066
348	1.112920728
349	1.112682909
350	1.112250778
351	1.111778841
352	1.111309864
353	1.111120845
354	1.110701597
355	1.110580959
356	1.110250354
357	1.109976133
358	1.109514261
359	1.109149856
360	1.108688762
361	1.108308308
362	1.107848974
363	1.107260935
364	1.106822914
365	1.10654801
366	1.106239382
367	1.105813529
368	1.105656611
369	1.105455748
370	1.105137913
371	1.10493161
372	1.104548556
373	1.104270959
374	1.104013626
375	1.103566027
376	1.103240337
377	1.10286206
378	1.10272384
379	1.102373154
380	1.102210351
381	1.101835616
382	1.101570835
383	1.101204132
384	1.100867849
385	1.100555274
386	1.100107458
387	1.099859162
388	1.099579393
389	1.098992488
390	1.098735003
391	1.098370272
392	1.098087611
393	1.09772138
394	1.097216614
395	1.097001241
396	1.096645237
397	1.096079553
398	1.09578044
399	1.095305585
400	1.094964204
401	1.094649405
402	1.094359231
403	1.094050785
404	1.093827334
405	1.093476617
406	1.093209856
407	1.092766677
408	1.092518772
409	1.092247651
410	1.091899426
411	1.091586373
412	1.091194227
413	1.090946985
414	1.090785855
415	1.090625851
416	1.090333163
417	1.089925992
418	1.089558831
419	1.089338355
420	1.08899489
421	1.088804049
422	1.088375555
423	1.087963101
424	1.087864832
425	1.087569399
426	1.087277873
427	1.087193903
428	1.08691766
429	1.086538597
430	1.086213033
431	1.085929768
432	1.085658305
433	1.085466841
434	1.085202098
435	1.084991498
436	1.084599679
437	1.084303046
438	1.084098283
439	1.083880688
440	1.083511722
441	1.083232948
442	1.082833955
443	1.082559479
444	1.082068595
445	1.081902831
446	1.0815935
447	1.081204557
448	1.080829067
449	1.080555912
450	1.080343433
451	1.080238748
452	1.080042577
453	1.079659332
454	1.079402749
455	1.079189444
456	1.078831158
457	1.078610775
458	1.078332053
459	1.077793968
460	1.077434297
461	1.077139773
462	1.076981918
463	1.076693865
464	1.076461494
465	1.076161141
466	1.075957852
467	1.075562315
468	1.075362988
469	1.075041638
470	1.074812798
471	1.074496075
472	1.074373679
473	1.073777948
474	1.073495549
475	1.073267221
476	1.073016574
477	1.072886487
478	1.072665635
479	1.072304699
480	1.071998291
481	1.071694915
482	1.071286181
483	1.07097497
484	1.070690609
485	1.070447448
486	1.070307622
487	1.069966143
488	1.069742702
489	1.069314219
490	1.069120117
491	1.068836148
492	1.068659316
493	1.068376123
494	1.068167752
495	1.067708207
496	1.067634405
497	1.067446348
498	1.067160824
499	1.06707088
500	1.066722577
501	1.066449645
502	1.066009342
503	1.065691541
504	1.065477617
505	1.065297857
506	1.064962519
507	1.064775405
508	1.06455321
509	1.064303146
510	1.064135164
511	1.064034085
512	1.063829375
513	1.063734028
514	1.063490179
515	1.063270663
516	1.062955145
517	1.062539065
518	1.062280304
519	1.062164273
520	1.062043813
521	1.061902836
522	1.061661854
523	1.061337358
524	1.061176923
525	1.060891749
526	1.060717067
527	1.060463713
528	1.060272673
529	1.060002464
530	1.0598438
531	1.059552026
532	1.059173329
533	1.058979686
534	1.05876138
535	1.058502353
536	1.058175292
537	1.057982657
538	1.057699079
539	1.057590853
540	1.057301516
541	1.057201489
542	1.056899231
543	1.056591128
544	1.056362705
545	1.056249904
546	1.055928825
547	1.055594879
548	1.055416367
549	1.055206014
550	1.055050468
551	1.05450294
552	1.054262242
553	1.054095764
554	1.053843346
555	1.053559623
556	1.053333527
557	1.053126344
558	1.052777003
559	1.05260109
560	1.052223922
561	1.05195919
562	1.051689021
563	1.051583922
564	1.051424504
565	1.05120071
566	1.05077458
567	1.050583075
568	1.050288197
569	1.050111752
570	1.049940554
571	1.04962629
572	1.049534285
573	1.049337164
574	1.04924684
575	1.049115308
576	1.048790196
577	1.048423232
578	1.048211352
579	1.047901061
580	1.047693199
581	1.047441877
582	1.047289022
583	1.047125579
584	1.046822222
585	1.046663209
586	1.046341308
587	1.045988655
588	1.045734483
589	1.045503503
590	1.04541854
591	1.045165329
592	1.044950496
593	1.044729509
594	1.04458888
595	1.044252251
596	1.044032686
597	1.043713617
598	1.04343817
599	1.043170702
600	1.042782124
601	1.042562326
602	1.042206245
603	1.04185483
604	1.041486281
605	1.041377792
606	1.041210758
607	1.041000742
608	1.040484419
609	1.040256229
610	1.040209731
611	1.039990517
612	1.039768326
613	1.039352436
614	1.039086478
615	1.038877944
616	1.038756666
617	1.038462722
618	1.038193621
619	1.038014639
620	1.037684641
621	1.037431754
622	1.037263721
623	1.037149297
624	1.036860163
625	1.036749506
626	1.03646919
627	1.036257024
628	1.036057932
629	1.035661873
630	1.035383903
631	1.035180675
632	1.035061265
633	1.034998604
634	1.034847007
635	1.034780663
636	1.034579551
637	1.0343906
638	1.034185765
639	1.03403082
640	1.03375232
641	1.03356
642	1.033528611
643	1.033382324
644	1.033014641
645	1.032881153
646	1.032673823
647	1.0324234
648	1.032222843
649	1.031860271
650	1.031652461
651	1.031511683
652	1.031392863
653	1.031214909
654	1.031061434
655	1.030691436
656	1.030490024
657	1.030345581
658	1.029960535
659	1.029671558
660	1.029481206
661	1.02925617
662	1.029078373
663	1.028918365
664	1.02879303
665	1.028515376
666	1.028197397
667	1.028039845
668	1.027742617
669	1.027540318
670	1.027320528
671	1.027177912
672	1.026838157
673	1.026525369
674	1.026212978
675	1.025948447
676	1.025706829
677	1.025353865
678	1.025089275
679	1.024811289
680	1.024554171
681	1.024272318
682	1.024168754
683	1.023984631
684	1.023825992
685	1.023514866
686	1.023337518
687	1.023202505
688	1.023070811
689	1.022827223
690	1.022610993
691	1.022382711
692	1.022184494
693	1.022012682
694	1.021887163
695	1.021715593
696	1.021623465
697	1.021383719
698	1.02126331
699	1.0211232
700	1.020997464
701	1.020849505
702	1.020613518
703	1.02032448
704	1.019832447
705	1.01938733
706	1.019261913
707	1.019044982
708	1.018952721
709	1.018823941
710	1.018617922
711	1.018411532
712	1.018192884
713	1.017957428
714	1.017793931
715	1.017655506
716	1.017335935
717	1.017110412
718	1.01688318
719	1.016784909
720	1.016582722
721	1.016397129
722	1.016282703
723	1.016136996
724	1.016043862
725	1.015928884
726	1.015608746
727	1.015495476
728	1.015317142
729	1.015130735
730	1.01498362
731	1.014922105
732	1.014817566
733	1.014556831
734	1.014377169
735	1.014267358
736	1.014143144
737	1.01391258
738	1.013591537
739	1.013355721
740	1.013227748
741	1.012999507
742	1.01293878
743	1.012815221
744	1.012682553
745	1.012488488
746	1.012382819
747	1.012128309
748	1.011766371
749	1.011683144
750	1.011480195
751	1.011263155
752	1.011041707
753	1.010946859
754	1.010899961
755	1.010623612
756	1.010430828
757	1.01028931
758	1.010003651
759	1.009778323
760	1.009711717
761	1.009397088
762	1.009292998
763	1.009063387
764	1.008912764
765	1.008534111
766	1.008330371
767	1.008248127
768	1.007996893
769	1.007926826
770	1.007846831
771	1.007678644
772	1.00750943
773	1.007235425
774	1.006969792
775	1.006750909
776	1.006621994
777	1.006336275
778	1.006158415
779	1.006027997
780	1.005822166
781	1.005671778
782	1.005452821
783	1.005273733
784	1.005187949
785	1.00505402
786	1.004808034
787	1.004668043
788	1.004428413
789	1.004222071
790	1.004059676
791	1.003734766
792	1.003624463
793	1.003530031
794	1.003391698
795	1.003275427
796	1.003146159
797	1.0029448
798	1.002780391
799	1.002560541
800	1.002450831
801	1.00238673
802	1.002262949
803	1.001997918
804	1.001937591
805	1.001810089
806	1.001658339
807	1.001559888
808	1.001194831
809	1.000989346
810	1.000880577
811	1.000751101
812	1.000577933
813	1.000388833
814	1.00023449
815	1.000123282
816	1.000043685
817	0.9998545067
818	0.9997394028
819	0.9994878121
820	0.9993197271
821	0.9989812317
822	0.9986806417
823	0.9983272924
824	0.9981661681
825	0.9980067905
826	0.9978737192
827	0.99771596
828	0.9974960107
829	0.9973533416
830	0.9972006908
831	0.9969662014
832	0.9968017038
833	0.9966245329
834	0.9965634926
835	0.9964704244
836	0.9963629766
837	0.996199869
838	0.9960368071
839	0.9958265769
840	0.9956635615
841	0.9955472167
842	0.9953050897
843	0.9951713823
844	0.9949247244
845	0.9946622772
846	0.9945010511
847	0.994306406
848	0.9941938619
849	0.9940532792
850	0.9938684462
851	0.9936496127
852	0.9935945152
853	0.9932945551
854	0.9929751116
855	0.9928237121
856	0.992749579
857	0.992635146
858	0.9925119013
859	0.9923680031
860	0.9922645499
861	0.991961211
862	0.9918590878
863	0.9917793467
864	0.9916134738
865	0.9913328597
866	0.9912482427
867	0.9911728798
868	0.9910907453
869	0.990821377
870	0.9905934755
871	0.9904375755
872	0.9903472541
873	0.9901581762
874	0.9900339603
875	0.9898211189
876	0.9896278376
877	0.989507597
878	0.9894388697
879	0.9892727375
880	0.9891220608
881	0.9888711082
882	0.9886136082
883	0.9884528553
884	0.9883730553
885	0.9881850547
886	0.9881152265
887	0.9879210068
888	0.9878699442
889	0.9877439109
890	0.987505954
891	0.9872878203
892	0.9871780117
893	0.9870847405
894	0.9868087906
895	0.9865808815
896	0.9864368471
897	0.9861412326
898	0.9859499874
899	0.9858748839
900	0.9856607961
901	0.9855899017
902	0.9854167272
903	0.9853866294
904	0.9852495922
905	0.9851431999
906	0.9849271574
907	0.9847770985
908	0.984636707
909	0.9843899611
910	0.9842963589
911	0.9841708885
912	0.9840766448
913	0.9838715483
914	0.98368568
915	0.9834086138
916	0.9831172285
917	0.9830160841
918	0.9827695441
919	0.9826949665
920	0.9825823567
921	0.9825097627
922	0.9824343414
923	0.9821745905
924	0.981988521
925	0.9818751405
926	0.9816953232
927	0.98157718
928	0.9814524633
929	0.9812002123
930	0.9809966209
931	0.9808852591
932	0.9808280848
933	0.9806566291
934	0.9803834756
935	0.980080069
936	0.9798693472
937	0.9796390531
938	0.9794421586
939	0.9792921946
940	0.9791198766
941	0.9788978034
942	0.9787767993
943	0.9786602467
944	0.9783666277
945	0.9782277583
946	0.9779990708
947	0.9778723364
948	0.9777779674
949	0.9776988953
950	0.9775613681
951	0.9774607426
952	0.9772783185
953	0.9772235528
954	0.9769192372
955	0.9765720882
956	0.9764348715
957	0.9762051472
958	0.9760733896
959	0.975959033
960	0.9758485384
961	0.9757185872
962	0.9756281937
963	0.9755250011
964	0.97532214
965	0.9752668513
966	0.9751549618
967	0.9748758484
968	0.9744066975
969	0.9742655383
970	0.973993594
971	0.9738995558
972	0.9737499902
973	0.9736363274
974	0.9734503619
975	0.9733330966
976	0.9732343249
977	0.9730791957
978	0.9729159039
979	0.9726824589
980	0.9723329432
981	0.9721839992
982	0.9720292253
983	0.9717989749
984	0.9716330709
985	0.9714546727
986	0.9712632771
987	0.9711339281
988	0.971044019
989	0.9709048117
990	0.9708043873
991	0.9706575055
992	0.970620375
993	0.970480364
994	0.9704025146
995	0.9701641693
996	0.9698867156
997	0.9697342051
998	0.9696205105
999	0.9695217035
