iter	Passed	Remaining
0	10	10658
1	20	10067
2	30	10028
3	39	9759
4	48	9671
5	57	9595
6	66	9499
7	75	9419
8	84	9293
9	93	9269
10	102	9201
11	113	9330
12	122	9311
13	131	9256
14	141	9266
15	150	9256
16	160	9257
17	168	9191
18	178	9204
19	187	9207
20	198	9245
21	208	9287
22	220	9371
23	229	9314
24	239	9345
25	248	9307
26	259	9363
27	269	9346
28	277	9297
29	287	9291
30	296	9280
31	306	9276
32	315	9251
33	324	9233
34	335	9239
35	343	9205
36	353	9195
37	362	9166
38	370	9138
39	381	9166
40	391	9160
41	401	9150
42	410	9131
43	421	9165
44	431	9162
45	440	9137
46	450	9125
47	458	9094
48	467	9080
49	477	9073
50	486	9048
51	496	9053
52	505	9031
53	514	9018
54	523	8998
55	532	8978
56	541	8965
57	550	8945
58	561	8957
59	573	8987
60	582	8966
61	592	8959
62	601	8939
63	610	8931
64	620	8928
65	630	8916
66	639	8904
67	648	8889
68	657	8874
69	666	8849
70	675	8832
71	683	8812
72	692	8790
73	701	8780
74	709	8756
75	718	8734
76	727	8717
77	737	8720
78	747	8715
79	756	8703
80	765	8687
81	774	8665
82	783	8654
83	791	8633
84	800	8617
85	808	8596
86	818	8589
87	827	8571
88	835	8554
89	845	8544
90	855	8547
91	866	8552
92	877	8555
93	887	8558
94	898	8563
95	907	8550
96	920	8573
97	931	8569
98	940	8557
99	951	8567
100	966	8599
101	976	8594
102	986	8589
103	997	8594
104	1007	8588
105	1017	8580
106	1027	8575
107	1036	8562
108	1046	8550
109	1055	8539
110	1064	8525
111	1075	8524
112	1084	8516
113	1095	8515
114	1106	8517
115	1118	8526
116	1130	8530
117	1140	8521
118	1148	8503
119	1158	8492
120	1169	8494
121	1178	8477
122	1187	8465
123	1195	8448
124	1204	8430
125	1212	8412
126	1221	8396
127	1230	8380
128	1238	8363
129	1247	8345
130	1255	8329
131	1264	8311
132	1272	8296
133	1284	8300
134	1294	8295
135	1303	8281
136	1312	8266
137	1320	8250
138	1329	8234
139	1337	8218
140	1347	8207
141	1355	8190
142	1364	8177
143	1373	8162
144	1382	8149
145	1390	8133
146	1398	8117
147	1407	8101
148	1416	8087
149	1424	8071
150	1432	8057
151	1441	8043
152	1450	8027
153	1463	8040
154	1472	8028
155	1482	8020
156	1491	8009
157	1500	7995
158	1508	7980
159	1517	7967
160	1527	7957
161	1535	7942
162	1544	7932
163	1554	7923
164	1563	7911
165	1572	7900
166	1581	7888
167	1590	7877
168	1600	7867
169	1609	7855
170	1618	7844
171	1626	7830
172	1636	7820
173	1645	7810
174	1657	7812
175	1667	7805
176	1675	7791
177	1684	7779
178	1692	7764
179	1701	7751
180	1710	7738
181	1718	7724
182	1727	7710
183	1735	7696
184	1744	7686
185	1753	7673
186	1762	7663
187	1771	7650
188	1779	7636
189	1788	7623
190	1796	7609
191	1805	7596
192	1813	7582
